Removed branches (total = 20):
fbus	tbus	r	x	b
35	37	0.01100	0.04970	0.01318
54	59	0.05030	0.22930	0.05980
49	54	0.08690	0.29100	0.07300
33	37	0.04150	0.14200	0.03660
99	100	0.01800	0.08130	0.02160
27	28	0.01913	0.08550	0.02160
3	5	0.02410	0.10800	0.02840
105	108	0.02610	0.07030	0.01844
78	79	0.00546	0.02440	0.00648
55	59	0.04739	0.21580	0.05646
105	107	0.05300	0.18300	0.04720
48	49	0.01790	0.05050	0.01258
3	12	0.04840	0.16000	0.04060
44	45	0.02240	0.09010	0.02240
22	23	0.03420	0.15900	0.04040
105	106	0.01400	0.05470	0.01434
94	96	0.02690	0.08690	0.02300
75	118	0.01450	0.04810	0.01198
45	49	0.06840	0.18600	0.04440
12	117	0.03290	0.14000	0.03580

Added branches (total = 20):
fbus	tbus	r	x	b
117	109	0.05930	0.16800	0.04200
3	85	0.01350	0.06120	0.01628
18	1	0.00376	0.01240	0.01264
104	3	0.04050	0.12200	0.12400
108	33	0.02090	0.06880	0.01748
5	23	0.01560	0.07040	0.01870
94	60	0.02380	0.09970	0.10600
116	109	0.04280	0.14100	0.03600
104	4	0.02370	0.09430	0.02380
63	83	0.03430	0.09660	0.02420
51	6	0.01350	0.04920	0.04980
4	72	0.01350	0.06120	0.01628
77	90	0.02980	0.08530	0.08174
1	81	0.04540	0.20600	0.05460
102	114	0.04510	0.20400	0.05410
88	108	0.08030	0.23900	0.05360
95	107	0.03906	0.18130	0.04610
103	20	0.05300	0.18300	0.04720
36	11	0.02030	0.06820	0.01738
10	2	0.00871	0.02680	0.00568
